NU_ANO_CENSO,TP_RESPONSAVEL_REGULAMENTACAO,NO_ENTIDADE,NO_MUNICIPIO,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,QT_MAT_INF_CRE
2021,3.0,ESCOLA MUNICIPAL MARIA FELICIO LOPES,Fortaleza,RUA JOSE SETUBAL PESSOA,480,CAIS DO PORTO,116.0
2021,3.0,ESCOLA MUNICIPAL MARILENE LOPES RABELO,Fortaleza,RUA JACARANDA,460,PARQUE PRESIDENTE VARGAS,143.0
2021,3.0,ESCOLA MUNICIPAL HERBERT DE SOUZA,Fortaleza,RUA URUCUTUBA,1599,BOM JARDIM,80.0
2021,3.0,ESCOLA MUNICIPAL EDUCADOR PAULO FREIRE,Fortaleza,RUA CORONEL FABRICIANO,452,GRANJA PORTUGAL,167.0
2021,3.0,ESCOLA MUNICIPAL FRANCISCA DE ABREU LIMA,Fortaleza,RUA HUMBERTO DE ALMEIDA,535,CANINDEZINHO,156.0
2021,3.0,ESCOLA MUNICIPAL LUIS ANGELO PEREIRA,Fortaleza,RUA OSMUNDO CAVALCANTE DE OLIVEIRA,90,MUCURIPE,94.0
2021,3.0,ESCOLA MUNICIPAL SINO PINHEIRO,Fortaleza,RUA 14,151,JANGURUSSU,55.0
2021,3.0,ESCOLA MUNICIPAL IRMA MARIA EVANETE,Fortaleza,AVENIDA D,1015,CONJUNTO CEARA,135.0
2021,3.0,ESCOLA MUNICIPAL JOAO ESTANISLAU FACANHA,Fortaleza,RUA 11,S N,JARDIM CEARENSE,162.0
2021,3.0,ESCOLA MUNICIPAL NOELZINDA SATIRO SANTIAGO,Fortaleza,RUA DOM XISTO ALBANO,1298,PARQUE SAO JOSE,151.0
2021,3.0,ESCOLA MUNICIPAL JONATHAN DA ROCHA ALCOFORADO,Fortaleza,RUA MARIA GOMES DE SA,1030,MONDUBIM,159.0
2021,3.0,ESCOLA MUNICIPAL MONTEIRO LOBATO,Fortaleza,RUA 83,181,PREFEITO JOSE WALTER,170.0
2021,3.0,ESCOLA MUNICIPAL DOM HELDER CAMARA,Fortaleza,RUA FREI ODILON,623 B,ALVARO WEYNE,75.0
2021,3.0,ESCOLA MUNICIPAL JOSE BATISTA DE OLIVEIRA,Fortaleza,RUA GOIAS,S N,PAN AMERICANO,92.0
2021,3.0,ESCOLA MUNICIPAL MARIA DE CARVALHO MARTINS,Fortaleza,AVENIDA DOUTOR SILAS MUNGUBA,4300,ITAPERI,262.0
2021,3.0,ESCOLA MUNICIPAL DE TEMPO INTEGRAL FRANCISCA FERNANDES MAGALHAES,Fortaleza,RUA VITAL BRASIL,1020,BONSUCESSO,124.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR JOSE MARIA MOREIRA CAMPOS,Fortaleza,RUA FRANCISCO ALMEIDA,525,PARQUE SANTA ROSA,156.0
2021,3.0,ESCOLA MUNICIPAL ISABEL FERREIRA,Fortaleza,RUA ISABEL FERREIRA,1000,LAGOA REDONDA,129.0
2021,3.0,ESCOLA MUNICIPAL JOAO SARAIVA LEAO,Fortaleza,AVENIDA PROFESSOR JOSE ARTHUR DE CARVALHO,50,LAGOA REDONDA,76.0
2021,3.0,ESCOLA MUNICIPAL SANTA TEREZINHA,Fortaleza,RUA AFONSO LOPES,1095,PARQUE DOIS IRMAOS,115.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR JOSE CIRIO PEREIRA FILHO,Fortaleza,RUA QUARTZO ROSA,100,SIQUEIRA,148.0
2021,3.0,ESCOLA MUNICIPAL MANOELITO GUIMARAES DOMINGUES,Fortaleza,RUA HARIBERTO ONOFRE,S N,ANCURI,68.0
2021,3.0,ESCOLA MUNICIPAL IRMA GIULIANA GALLI,Fortaleza,RUA ANTONIO BOTELHO,715,SERRINHA,131.0
2021,3.0,ESCOLA MUNICIPAL JORNALISTA DEMOCRITO DUMMAR,Fortaleza,AVENIDA EUCLIDES PAULINO BARROSO,2505,CANINDEZINHO,139.0
2021,3.0,ESCOLA MUNICIPAL NOSSA SENHORA APARECIDA,Fortaleza,RUA TERESA CRISTINA,112,CENTRO,73.0
2021,3.0,ESCOLA MUNICIPAL FREI AGOSTINHO FERNANDES,Fortaleza,RUA CESAR CALS,2370,VICENTE PINZON,79.0
2021,3.0,ESCOLA MUNICIPAL FRANCISCO ANDRADE TEOFILO GIRAO,Fortaleza,RUA UNIDOS VENCEREMOS,2040,PASSARE,153.0
2021,3.0,ESCOLA MUNICIPAL CESAR CALS DE OLIVEIRA NETO,Fortaleza,RUA OLIMPIO RIBEIRO,20,CONJUNTO PALMEIRAS,94.0
2021,3.0,ESCOLA MUNICIPAL PROFESSOR ERNESTO GURGEL,Fortaleza,RUA OLEGARIO MEMORIA,3105,SAPIRANGA,73.0
2021,3.0,ESCOLA MUNICIPAL RAIMUNDO DE MOURA MATOS,Fortaleza,AVENIDA DOIS DE MAIO,1300,PASSARE,190.0
2021,3.0,ESCOLA MUNICIPAL JESUS CRISTO,Fortaleza,RUA ALBERTO FERREIRA,564,JARDIM IRACEMA,136.0
2021,3.0,ESCOLA MUNICIPAL MARIA DALVA SEVERINO MARREIRO,Fortaleza,RUA RIO PARAGUAI,782,JARDIM IRACEMA,56.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA MARIA EVAN DO CARMO,Fortaleza,RUA MATEUS ALMEIDA,71,JOSE DE ALENCAR,78.0
2021,3.0,ESCOLA MUNICIPAL RAIMUNDO DE SOUSA MANGUEIRA,Fortaleza,RUA ALBERTO FERREIRA,624,JARDIM IRACEMA,55.0
2021,3.0,ESCOLA MUNICIPAL RACHEL DE QUEIROZ,Fortaleza,AVENIDA PRESIDENTE CASTELO BRANCO,5010,BARRA DO CEARA,133.0
2021,3.0,ESCOLA MUNICIPAL VIRGILIO TAVORA,Fortaleza,AVENIDA MONSENHOR HELIO CAMPOS,S N,CRISTO REDENTOR,108.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA MARIA DO SOCORRO FERREIRA VIRINO,Fortaleza,RUA MODESTA,44,CONJUNTO PALMEIRAS,120.0
2021,3.0,ESCOLA MUNICIPAL JOSE SOBREIRA DE AMORIM,Fortaleza,RUA TENENTE TITO BARROS,330,CAJAZEIRAS,34.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA OLINDINA CARVALHO DE MORAIS,Fortaleza,RUA 5,581,BARROSO,202.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA JOSEFINA PARENTE DE ARAUJO,Fortaleza,RUA PEDRO MAMEDE,175,SABIAGUABA,40.0
2021,3.0,ESCOLA MUNICIPAL MARIA DE LOURDES,Fortaleza,RUA LUIS MENDES,174,CIDADE DOS FUNCIONARIOS,95.0
2021,3.0,ESCOLA MUNICIPAL PROFESSORA BERNADETE ORIA DE OLIVEIRA,Fortaleza,RUA DOUTOR CODES SANDOVAL,796,CONJUNTO PALMEIRAS,100.0
2021,3.0,ESCOLA MUNICIPAL MANOEL MALVEIRA MAIA,Fortaleza,RUA MANUEL GALDINO,S N,GRANJA LISBOA,147.0
2021,3.0,ESCOLA MUNICIPAL RAIMUNDO MOREIRA SENA,Fortaleza,RUA G,93,BOM JARDIM,286.0
2021,3.0,ESCOLA MUNICIPAL JOSE CARLOS MATOS,Fortaleza,RUA ITAJAI,802,GRANJA PORTUGAL,95.0
2021,3.0,ESCOLA MUNICIPAL ANDRE LUIS,Fortaleza,AVENIDA PRESIDENTE COSTA E SILVA,5255,PASSARE,104.0
2021,3.0,ESCOLA MUNICIPAL ULISSES GUIMARAES,Fortaleza,RUA TENENTE FRANCISCO PAIVA,1350,GRANJA LISBOA,91.0
2021,3.0,ESCOLA MUNICIPAL FLORIVAL ALVES SERAINE,Fortaleza,RUA ITATIAIA,S N,CANINDEZINHO,60.0
2021,3.0,ESCOLA MUNICIPAL IRMA ROCHA,Fortaleza,RUA EMILIO DE MENEZES,2515,GRANJA PORTUGAL,191.0
2021,3.0,ESCOLA MUNICIPAL SAO CARLOS,Fortaleza,RUA 6,1009,QUINTINO CUNHA,156.0
2021,3.0,ESCOLA MUNICIPAL HILZA DIOGO CALS,Fortaleza,RUA WALDIR DIOGO,850,NOVO MONDUBIM,89.0
2021,3.0,ESCOLA MUNICIPAL JOAO FREDERICO FERREIRA GOMES,Fortaleza,RUA JOSE MENDONCA,1150,PARQUE GENIBAU,80.0
2021,3.0,ESCOLA MUNICIPAL JOAO PAULO II,Fortaleza,AVENIDA C,1381 ET 2ª,CONJUNTO CEARA,206.0
2021,3.0,ESCOLA MUNICIPAL MURILO SERPA,Fortaleza,RUA MONSENHOR HIPOLITO BRASIL,1400,DOM LUSTOSA,243.0
2021,3.0,ESCOLA MUNICIPAL MARIA BEZERRA QUEVEDO,Fortaleza,RUA 103,28,NOVO MONDUBIM,127.0
2021,3.0,ESCOLA MUNICIPAL TEREZA D ANA,Fortaleza,RUA CORONEL DE QUEIROZ,750,PLANALTO AYRTON SENNA,80.0
2021,3.0,ESCOLA MUNICIPAL REITOR ANTONIO MARTINS FILHO,Fortaleza,RUA TEODORO DE CASTRO,1175,GRANJA PORTUGAL,132.0
2021,3.0,ESCOLA MUNICIPAL GODOFREDO DE CASTRO FILHO,Fortaleza,AVENIDA JOSE SABOIA,905,CAIS DO PORTO,40.0
2021,3.0,ESCOLA MUNICIPAL NOSSA SENHORA DO SAGRADO CORACAO,Fortaleza,RUA ANA GONCALVES,1,SAO JOAO DO TAUAPE,80.0
